timeframe,ward2012,TotPop,TotPop_m,ward2012_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
2010,Ward 5,X,.,5,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.8,-17,-5.1,1
2010,Ward 6,X,.,6,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,7.2,-19,-6.2,1
2010,Ward 7,X,.,7,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2.5,-7.1,-5.3,1
2010,Ward 8,X,.,8,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-0.5,-16,21,1
2000,Ward 1,X,.,1,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,-2.4,-26,1
2000,Ward 2,X,.,2,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.6,5.1,-8.2,1
2000,Ward 3,X,.,3,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.5,5,-13,1
2000,Ward 4,X,.,4,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-3.9,5.5,0.8,1
2000,Ward 5,X,.,5,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14,-6.8,-17,1
2000,Ward 6,X,.,6,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-6.1,-2.1,-3.9,1
2000,Ward 7,X,.,7,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-11,-2.8,-3.6,1
2000,Ward 8,X,.,8,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-14,-5.3,-9.3,1
